"forecast_date","target","target_end_date","location","type","quantile","value"
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","point",NA,825
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.01,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.025,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.05,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.1,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.15,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.2,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.25,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.3,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.35,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.4,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.45,0
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.5,396
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.55,1780
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.6,3137
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.65,4611
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.7,6123
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.75,7736
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.8,9453
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.85,11504
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.9,14237
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.95,18069
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.975,21067
2023-11-14,"1 wk ahead inc case",2023-11-19,"AT","quantile",0.99,25623
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","point",NA,825
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.01,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.025,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.05,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.1,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.15,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.2,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.25,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.3,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.35,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.4,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.45,0
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.5,433
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.55,3091
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.6,6007
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.65,8963
2023-11-14,"2 wk ahead inc case",2023-11-26,"AT","quantile",0.7,12359
